V1,V2,V3,C4,C3,C2,C1,NOT
,,,232. INCLOSURE ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,233. LIMIT ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,234. FRONT ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,2. Special 
,,,235. REAR ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,2. Special 
,,,236. LATERALITY ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,2. Special 
,,,237. CONTRAPOSITION ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,2. Special 
,,,238. DEXTRALITY ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,2. Special 
,,,239. SINISTRALITY ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,2. Special 
,,,240. FORM ,1. GENERAL FORM ,SECTION III. FORM ,SPACE,
,,,241. AMORPHISM ,1. GENERAL FORM ,SECTION III. FORM ,SPACE,
,,,242. SYMMETRY ,1. GENERAL FORM ,SECTION III. FORM ,SPACE,
,,,243. DISTORTION ,1. GENERAL FORM ,SECTION III. FORM ,SPACE,
,,,244. ANGULARITY ,2. SPECIAL FORM ,SECTION III. FORM ,SPACE,
,,,245. CURVATURE ,2. SPECIAL FORM ,SECTION III. FORM ,SPACE,
,,,246. STRAIGHTNESS ,2. SPECIAL FORM ,SECTION III. FORM ,SPACE,
,,,247. CIRCULARITY ,2. SPECIAL FORM ,SECTION III. FORM ,SPACE,
,,,248. CONVOLUTION ,2. SPECIAL FORM ,SECTION III. FORM ,SPACE,
,,,249. ROTUNDITY ,2. SPECIAL FORM ,SECTION III. FORM ,SPACE,
,,,250. CONVEXITY ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,251. FLATNESS ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,252. CONCAVITY ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,252a sponge 
,,,253. SHARPNESS ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,254. BLUNTNESS ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,255. SMOOTHNESS ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,256. ROUGHNESS ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,257. NOTCH ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,258. FOLD ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,259. FURROW ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,260. OPENING ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,261. CLOSURE ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,262. PERFORATOR ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,263. STOPPER ,3. SUPERFICIAL FORM ,SECTION III. FORM ,SPACE,
,,,264. MOTION ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,265. QUIESCENCE ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,266. JOURNEY ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,267. NAVIGATION ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,268. TRAVELER ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,269. MARINER ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,270. TRANSFERENCE ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,271. CARRIER ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,272. VEHICLE ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,273. SHIP ,1. MOTION IN GENERAL ,SECTION IV. MOTION ,SPACE,
,,,274. VELOCITY ,2. DEGREES OF MOTION ,SECTION IV. MOTION ,SPACE,
,,,275. SLOWNESS ,2. DEGREES OF MOTION ,SECTION IV. MOTION ,SPACE,
,,,276. IMPULSE ,3. MOTION CONJOINED WITH FORCE ,SECTION IV. MOTION ,SPACE,
,,,277. RECOIL ,3. MOTION CONJOINED WITH FORCE ,SECTION IV. MOTION ,SPACE,
,,,278. DIRECTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,279. DEVIATION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,280. PRECESSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,281. SEQUENCE ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,282. PROGRESSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,283. REGRESSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,284. PROPULSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,285. TRACTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,286. APPROACH ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,287. RECESSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,288. ATTRACTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,289. REPULSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,290. CONVERGENCE ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,291. DIVERGENCE ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,292. ARRIVAL ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,293. DEPARTURE ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,294. INGRESS ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,295. EGRESS ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,296. RECEPTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,297. EJECTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,298. FOOD ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,299. EXCRETION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,300. INSERTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,301. EXTRACTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,302. PASSAGE ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,303. TRANSCURSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,304. SHORTCOMING ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,305. ASCENT ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,306. DESCENT ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,307. ELEVATION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,308. DEPRESSION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,309. LEAP ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,310. PLUNGE ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,311. CIRCUITION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,312. ROTATION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,313. EVOLUTION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,314. OSCILLATION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,315. AGITATION ,4. MOTION WITH REFERENCE TO DIRECTION ,SECTION IV. MOTION ,SPACE,
,,,316. MATERIALITY ,0. GENERAL MATTER,SECTION I. MATTER IN GENERAL ,MATTER,
,,,317. IMMATERIALITY ,0. GENERAL MATTER,SECTION I. MATTER IN GENERAL ,MATTER,
,,,318. WORLD ,0. GENERAL MATTER,SECTION I. MATTER IN GENERAL ,MATTER,
,,,319. GRAVITY ,0. GENERAL MATTER,SECTION I. MATTER IN GENERAL ,MATTER,
,,,320. LEVITY ,0. GENERAL MATTER,SECTION I. MATTER IN GENERAL ,MATTER,
,,,321. DENSITY ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,322. RARITY ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,323. HARDNESS ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,324. SOFTNESS ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,325. ELASTICITY ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,326. INELASTICITY ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,327. TENACITY ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,328. BRITTLENESS ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,329. TEXTURE ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,330. PULVERULENCE ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,331. FRICTION ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,332. LUBRICATION ,1. SOLID MATTER ,SECTION II. INORGANIC MATTER ,MATTER,
,,,333. FLUIDITY ,1. FLUIDS IN GENERAL ,SECTION II. INORGANIC MATTER ,MATTER,2. FLUID MATTER 
,,,334. GASEITY ,1. FLUIDS IN GENERAL ,SECTION II. INORGANIC MATTER ,MATTER,
,,,335. LIQUEFACTION ,1. FLUIDS IN GENERAL ,SECTION II. INORGANIC MATTER ,MATTER,
,,,336. VAPORIZATION ,1. FLUIDS IN GENERAL ,SECTION II. INORGANIC MATTER ,MATTER,
,,,337. WATER ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,338. AIR ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,339. MOISTURE ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,340. DRYNESS ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,341. OCEAN ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,342. LAND ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,"343. GULF, LAKE ",2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,344. PLAIN ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,345. MARSH ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,346. ISLAND ,2. SPECIFIC FLUIDS ,SECTION II. INORGANIC MATTER ,MATTER,
,,,347. STREAM ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,
,,,348. RIVER ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,
,,,349. WIND ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,
,,,350. CONDUIT ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,
,,,351. AIRPIPE ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,
,,,352. SEMILIQUIDITY ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,3. IMPERFECT FLUIDS 
,,,353. BUBBLE; CLOUD ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,3. IMPERFECT FLUIDS 
,,,354. PULPINESS ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,3. IMPERFECT FLUIDS 
,,,355. UNCTUOUSNESS ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,3. IMPERFECT FLUIDS 
,,,356. OIL ,3. FLUIDS IN MOTION ,SECTION II. INORGANIC MATTER ,MATTER,3. IMPERFECT FLUIDS 356a. resin
,,,357. ORGANIZATION ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,358. INORGANIZATION ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,359. LIFE ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,360. DEATH ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,361. KILLING ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,362. CORPSE ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,363. INTERMENT ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,1. Vitality in General
,,,364. ANIMALITY ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,365. VEGETABILITY ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,366. ANIMAL ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,367. VEGETABLE ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,368. ZOOLOGY ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,369. BOTANY ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,370. HUSBANDRY ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,371. AGRICULTURE ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,372. MANKIND ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,373. MAN ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 
,,,374. WOMAN ,1. VITALITY,SECTION III. ORGANIC MATTER,MATTER,2. Special Vitality 374a. Sexuality
,,,375. PHYSICAL SENSIBILITY ,1. SENSATION IN GENERAL,SECTION III. ORGANIC MATTER,MATTER,
,,,376. PHYSICAL INSENSIBILITY ,1. SENSATION IN GENERAL,SECTION III. ORGANIC MATTER,MATTER,
,,,377. PHYSICAL PLEASURE ,1. SENSATION IN GENERAL,SECTION III. ORGANIC MATTER,MATTER,
,,,378. PHYSICAL PAIN ,1. SENSATION IN GENERAL,SECTION III. ORGANIC MATTER,MATTER,
,,,379. TOUCH ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(1) Touch 
,,,380. SENSATIONS OF TOUCH ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(1) Touch 
,,,381. NUMBNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(1) Touch 
,,,382. HEAT ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,383. COLD ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,384. CALEFACTION ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,385. REFRIGERATION ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,386. FURNACE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,387. REFRIGERATOR ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,388. FUEL ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,"(2) Heat 388a. insulation, fire extinction "
,,,389. THERMOMETER ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(2) Heat 
,,,390. TASTE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,391. INSIPIDITY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,392. PUNGENCY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste  392a. saltiness 392b. bitterness 
,,,393. CONDIMENT ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,394. SAVORINESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,395. UNSAVORINESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,396. SWEETNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,397. SOURNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(3) Taste 
,,,398. ODOR ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(4) Odor 
,,,399. INODOROUSNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(4) Odor 
,,,400. FRAGRANCE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(4) Odor 
,,,401. FETOR ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(4) Odor  401a. acridity
,,,402. SOUND ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(5) Sound
,,,403. SILENCE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(5) Sound
,,,404. LOUDNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(5) Sound
,,,405. FAINTNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(5) Sound
,,,406. SNAP ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 
,,,407. ROLL ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 
,,,408. RESONANCE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 408a. nonresonance 
,,,409. SIBILATION ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 
,,,410. STRIDOR ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 
,,,411. CRY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 
,,,412. ULULATION ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC SOUNDS 
,,,413. MELODY CONCORD ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) MUSICAL SOUNDS 
,,,414. DISCORD ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) MUSICAL SOUNDS 
,,,415. MUSIC ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) MUSICAL SOUNDS 
,,,416. MUSICIAN ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) MUSICAL SOUNDS 
,,,417. MUSICAL INSTRUMENTS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) MUSICAL SOUNDS 
,,,418. HEARING ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iv) PERCEPTION OF SOUND 
,,,419. DEAFNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iv) PERCEPTION OF SOUND 
,,,420. LIGHT ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,421. DARKNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,422. DIMNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,423. LUMINARY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,424. SHADE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,425. TRANSPARENCY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,426. OPACITY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 426a. turbidity 
,,,427. SEMITRANSPARENCY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(6) Light 
,,,428. COLOR ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC LIGHT 
,,,429. ACHROMATISM ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC LIGHT 
,,,430. WHITENESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC LIGHT 
,,,431. BLACKNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC LIGHT 
,,,432. GRAY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC LIGHT 
,,,433. BROWN ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(ii) SPECIFIC LIGHT 
,,,434. REDNESS         ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,435. GREENNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,436. YELLOWNESS      ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,437. PURPLE    ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,438. BLUENESS           ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,439. ORANGE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,440. VARIEGATION ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER, Primitive Colors    --    Complementary Colors  
,,,441. VISION ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,442. BLINDNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,443. DIMSIGHTEDNESS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,444. SPECTATOR ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,445. OPTICAL INSTRUMENTS ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,446. VISIBILITY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,447. INVISIBILITY ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,448. APPEARANCE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,449. DISAPPEARANCE ,2. SPECIAL SENSATION ,SECTION III. ORGANIC MATTER,MATTER,(iii) PERCEPTIONS OF LIGHT 
,,,450. INTELLECT ,0. DEGREES OF EVIDENCE ,SECTION I. OPERATIONS OF INTELLECT IN GENERAL ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,450a. absence or want 
,,,451. THOUGHT ,0. DEGREES OF EVIDENCE ,SECTION I. OPERATIONS OF INTELLECT IN GENERAL ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,452. INCOGITANCY ,0. DEGREES OF EVIDENCE ,SECTION I. OPERATIONS OF INTELLECT IN GENERAL ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,453. IDEA ,0. DEGREES OF EVIDENCE ,SECTION I. OPERATIONS OF INTELLECT IN GENERAL ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,454. TOPIC ,0. DEGREES OF EVIDENCE ,SECTION I. OPERATIONS OF INTELLECT IN GENERAL ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,455. CURIOSITY ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,456. INCURIOSITY ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,457. ATTENTION ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,458. INATTENTION ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,459. CARE ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,460. NEGLECT ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,461. INQUIRY ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,462. ANSWER ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,463. EXPERIMENT ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,464. COMPARISON ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,464a. incomparability 
,,,465. DISCRIMINATION ,0. DEGREES OF EVIDENCE ,SECTION II. PRECURSORY CONDITIONS AND OPERATIONS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,465a. indiscrimination 465b. identification 
