V1,V2,V3,C4,C3,C2,C1,NOT
,,,501. FOOL ,0. DEGREES OF EVIDENCE ,SECTION V. RESULTS OF REASONING ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,502. SANITY ,0. DEGREES OF EVIDENCE ,SECTION V. RESULTS OF REASONING ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,503. INSANITY ,0. DEGREES OF EVIDENCE ,SECTION V. RESULTS OF REASONING ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,504. MADMAN ,0. DEGREES OF EVIDENCE ,SECTION V. RESULTS OF REASONING ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,505. MEMORY ,1. TO THE PAST ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,506. OBLIVION ,1. TO THE PAST ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,507. EXPECTATION ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,508. INEXPECTATION ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,509. DISAPPOINTMENT ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,510. FORESIGHT ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,511. PREDICTION ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,512. OMEN ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,513. ORACLE ,2. TO THE FUTURE ,SECTION VI EXTENSION OF THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,514. SUPPOSITION ,2. TO THE FUTURE ,SECTION VII. CREATIVE THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,514a. analogy 
,,,515. IMAGINATION ,2. TO THE FUTURE ,SECTION VII. CREATIVE THOUGHT ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,516. MEANING ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,517. UNMEANINGNESS ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,518. INTELLIGIBILITY ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,519. UNINTELLIGIBILITY ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,520. EQUIVOCALNESS ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,521. METAPHOR ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,522. INTERPRETATION ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,523. MISINTERPRETATION ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,524. INTERPRETER ,0. GENERAL  ,SECTION I. NATURE OF IDEAS COMMUNICATED. ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,525. MANIFESTATION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,"526. LATENCY, IMPLICATION ",0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,527. INFORMATION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,527a. correction 
,,,528. CONCEALMENT ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,529. DISCLOSURE ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,530. AMBUSH ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,531. PUBLICATION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,532. NEWS ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,533. SECRET ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,534. MESSENGER ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,535. AFFIRMATION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,536. NEGATION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,537. TEACHING ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,538. MISTEACHING ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,539. LEARNING ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,540. TEACHER ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,541. LEARNER ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,542. SCHOOL ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,543. VERACITY ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,544. FALSEHOOD ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,545. DECEPTION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,546. UNTRUTH ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,547. DUPE ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,548. DECEIVER ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,549. EXAGGERATION ,0. GENERAL  ,SECTION II. MODES OF COMMUNICATION ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,550. INDICATION ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,551. RECORD ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,552. OBLITERATION ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,553. RECORDER ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,554. REPRESENTATION ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,555. MISREPRESENTATION ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,556. PAINTING ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,557. SCULPTURE ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,558. ENGRAVING ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,559. ARTIST ,1. NATURAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,
,,,560. LANGUAGE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,561. LETTER ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,562. WORD ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,563. NEOLOGISM ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,564. NOMENCLATURE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,565. MISNOMER ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,566. PHRASE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,567. GRAMMAR ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,568. SOLECISM ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,569. STYLE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,570. PERSPICUITY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,571. OBSCURITY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,572. CONCISENESS ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,573. DIFFUSENESS ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,574. VIGOR ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,575. FEEBLENESS ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,576. PLAINNESS ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,577. ORNAMENT ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,578. ELEGANCE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,579. INELEGANCE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,1. Language generally 
,,,580. VOICE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,581. APHONY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,582. SPEECH ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,583. STAMMERING ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,584. LOQUACITY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,585. TACITURNITY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,586. ALLOCUTION ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,587. RESPONSE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,588. CONVERSATION ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,589. SOLILOQUY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,2. Spoken Language 
,,,590. WRITING ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,591. PRINTING ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,592. CORRESPONDENCE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,593. BOOK ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,594. DESCRIPTION ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,595. DISSERTATION ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,596. COMPENDIUM ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,597. POETRY ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,598. PROSE ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,599. DRAMA ,2. CONVENTIONAL MEANS ,SECTION III. MEANS OF COMMUNICATING IDEAS ,INTELLECTUAL FACULTIES - FORMATION OF IDEAS,3. Written Language 
,,,600. WILL ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,601. NECESSITY ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,602. WILLINGNESS ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,603. UNWILLINGNESS ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,604. RESOLUTION ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,604a. perseverance 
,,,605. IRRESOLUTION ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,606. OBSTINACY ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,607. TERGIVERSATION ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,608. CAPRICE ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,609. CHOICE ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,609a. absence of choice 
,,,610. REJECTION ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,611. PREDETERMINATION ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,612. IMPULSE ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,613. HABIT ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,614. DESUETUDE ,1. ACTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,615. MOTIVE ,2. CAUSES OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,615a. absence of motive 
,,,616. DISSUASION ,2. CAUSES OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,617. PRETEXT ,2. CAUSES OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,618. GOOD ,3. OBJECTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,619. EVIL ,3. OBJECTS OF VOLITION ,SECTION I. VOLITION IN GENERAL ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,620. INTENTION ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,621. CHANCE ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,622. PURSUIT ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,623. AVOIDANCE ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,624. RELINQUISHMENT ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,625. BUSINESS ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,626. PLAN ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,627. METHOD ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,628. MID-COURSE ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,629. CIRCUIT ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,630. REQUIREMENT ,1. CONCEPTIONAL VOLITION ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,631. INSTRUMENTALITY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,1. Actual Subservience 
,,,632. MEANS ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,633. INSTRUMENT ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,634. SUBSTITUTE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,635. MATERIALS ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,636. STORE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,637. PROVISION ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,638. WASTE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,639. SUFFICIENCY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,640. INSUFFICIENCY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,641. REDUNDANCY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,642. IMPORTANCE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,2. Degree of Subservience 
,,,643. UNIMPORTANCE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,644. UTILITY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,645. INUTILITY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,646. EXPEDIENCE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,647. INEXPEDIENCE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,648. GOODNESS ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,649. BADNESS ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,650. PERFECTION ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,651. IMPERFECTION ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,652. CLEANNESS ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,653. UNCLEANNESS ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,654. HEALTH ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,655. DISEASE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,656. SALUBRITY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,657. INSALUBRITY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,658. IMPROVEMENT ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,659. DETERIORATION ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,660. RESTORATION ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,661. RELAPSE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,662. REMEDY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,663. BANE ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
,,,664. SAFETY ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,3. Contingent Subservience 
,,,665. DANGER ,2. SUBSERVIENCE TO ENDS ,SECTION II. PROSPECTIVE VOLITION ,VOLITION - INDIVIDUAL VOLUNTARY POWERS,
